source;target;weight
slobodan7;chesscarl;1
chesscarl;grosschess;1
chesscarl;danielsor;1
chesscarl;sergey197316;1
chesscarl;anna1605;1
fire_on_the_board;chesscarl;1
chesscarl;wevertonsoares;1
rodrigo-sagastegui;chesscarl;1
chesscarl;withouttroble;1
bdoq;chesscarl;1
hayki34;chesscarl;1
klemi;chesscarl;1
mavrincbor;chesscarl;1
chesscarl;g_king;1
peshkach;chesscarl;1
chesscarl;krembrule;1
chesscarl;grewia;1
chesscarl;ratnikmora;1
ibonuribeetxebarria;chesscarl;1
foucheval;chesscarl;1
comped;chesscarl;1
chesscarl;just_emza;1
bshma;chesscarl;1
chesscarl;gfinch;1
thorfabian;chesscarl;1
thorfabian;chesscarl;1
thorfabian;chesscarl;1
thorfabian;chesscarl;1
oilen1401;chesscarl;1
mahyir35;chesscarl;1
chesscarl;mahyir35;1
superii;chesscarl;1
knight602;connorslaskowski;1
knight602;dumas27;1
knight602;leolayon;1
knight602;bababird;1
negativegerilla;knight602;1
knight602;cistajeba;1
mani66;knight602;1
knight602;kskatem;1
noddlep2;dkermanns;1
noddlep2;def--spb;1
wilk;noddlep2;1
cheateralert;dbmcdonald;1
dbmcdonald;cheateralert;1
dbmcdonald;zwickdendackl;1
dbmcdonald;fatih221b;1
sotochka;dbmcdonald;1
starfire777;rfqjr;1
rfqjr;rostfrei;1
willconquer;rfqjr;1
venetosergio;bloonfreakster;1
bloonfreakster;a7twen;1
a7twen;bloonfreakster;1
bloonfreakster;sd56;1
bloonfreakster;x6sapnupuas9x;1
romaniuk;bloonfreakster;1
bloonfreakster;rjfusafischer;1
bloonfreakster;chanta1950;1
bloonfreakster;rcatlc;1
bloonfreakster;banana_boat;1
schipio;bloonfreakster;1
wiggleitjiggleit;wachmacher;1
pv2017;wiggleitjiggleit;1
blazingheart;wiggleitjiggleit;1
imlimbad;wiggleitjiggleit;1
wiggleitjiggleit;simplymaster;1
wiggleitjiggleit;jourapoura;1
antitexnik;wiggleitjiggleit;1
wiggleitjiggleit;simplymaster;1
wiggleitjiggleit;penguin_lo;1
vkmansftw;wiggleitjiggleit;1
mark1984;mirniy86;1
markovits75;enialios;1
markovits75;enialios;1
theanonymousone;polasara;1
theanonymousone;leaving_at_dawn;1
theanonymousone;costillar;1
garib33gg;theanonymousone;1
theanonymousone;marlowe43;1
nikosioannidis;theanonymousone;1
macripoly;theanonymousone;1
eouen;theanonymousone;1
theanonymousone;hero100;1
theanonymousone;antonydoytchev;1
radioactive7;theanonymousone;1
tedcarter;theanonymousone;1
theoldnewb;theanonymousone;1
theanonymousone;suck-it-sibar;1
zugaddict;theanonymousone;1
slon-al;wesleytonini;1
slon-al;shairo08;1
mossall;slon-al;1
illamola;slon-al;1
brunozaurus;slon-al;1
slon-al;granit10;1
slon-al;weifi;1
buddel13;slon-al;1
amando_s;slon-al;1
w-j;slon-al;1
slon-al;dalmatinac;1
slon-al;safin_241;1
safin_241;slon-al;1
slon-al;safin_241;1
sasa1234;slon-al;1
slon-al;sasa1234;1
happyspyros;amir2002zzz;1
amir2002zzz;vovaches;1
amir2002zzz;donidali;1
donidali;amir2002zzz;1
jogandochess;amir2002zzz;1
amir2002zzz;fourninetysix;1
amir2002zzz;iwin10;1
jhoynnertello;amir2002zzz;1
ladratov;amir2002zzz;1
amir2002zzz;nagyc42;1
kazan2502;amir2002zzz;1
amir2002zzz;mohmohcom2;1
muemmelmann;amir2002zzz;1
amir2002zzz;fairygirl;1
mandre;amir2002zzz;1
amir2002zzz;horuspower;1
ss96;amir2002zzz;1
amir2002zzz;onlyprogress;1
dmitriy_duyun;amir2002zzz;1
amazo;amir2002zzz;1
chessgoals;skorlions28;1
chessgoals;alex_smite;1
per1966;saviter;1
saviter;per1966;1
gdf1981;saviter;1
saviter;morg1515;1
saviter;ilkerk;1
ilkerk;saviter;1
saviter;li1chess;1
robertao;saviter;1
saviter;acuario22;1
odrim;saviter;1
marinaldodelphi;saviter;1
saviter;abcheck;1
mhamed_basti;saviter;1
andyfi;saviter;1
saviter;bayron45;1
saviter;alperbaba5225;1
saviter;raitenis;1
cris36;saviter;1
saviter;cris36;1
cris36;saviter;1
fagnervalenca;saviter;1
evianwahter;saviter;1
saviter;episode;1
alenea;saviter;1
saviter;slm_mhr;1
saviter;quadrivium7;1
wolf80;saviter;1
leps000;saviter;1
saviter;leps000;1
saviter;wilden;1
everest999;saviter;1
majorwarren;saviter;1
saviter;majorwarren;1
majorwarren;saviter;1
taural;saviter;1
saviter;yosoyfenix;1
saviter;maicon92;1
saviter;a_th-19;1
sanmarcos;niftyleopard;1
german276;niftyleopard;1
niftyleopard;knightbane;1
torpeche;niftyleopard;1
niftyleopard;jdclassical;1
korbendallas;samwmsrachel;1
martha;samwmsrachel;1
ameenthedestroyer;samwmsrachel;1
samwmsrachel;laucha;1
messi08;samwmsrachel;1
ducksandcats;maxzep64;1
jak4;ducksandcats;1
ducksandcats;duckduckcow;1
duckduckcow;ducksandcats;1
ducksandcats;duckduckcow;1
duckduckcow;ducksandcats;1
zdb;ducksandcats;1
ducksandcats;vezir9;1
elnazjavaheri;ducksandcats;1
mileadam;ducksandcats;1
konst767;ducksandcats;1
ducksandcats;muligan07;1
hammerheart;ducksandcats;1
jesusarmy8;ducksandcats;1
ducksandcats;reda2345;1
invitado79;ducksandcats;1
slon11;ducksandcats;1
ducksandcats;2700172;1
ducksandcats;michal220;1
chess_pro_107;ducksandcats;1
ducksandcats;chess_pro_107;1
duckduckfrog;ducksandcats;1
ducksandcats;partoazhdary11;1
ducksandcats;jtg2016;1
mario455;ducksandcats;1
johnsmith97;ducksandcats;1
axela;ducksandcats;1
ducksandcats;bobbytal;1
bobbytal;ducksandcats;1
trenujeme_sach;ducksandcats;1
ducksandcats;wall-of-shields;1
wall-of-shields;ducksandcats;1
ducksandcats;wall-of-shields;1
wall-of-shields;ducksandcats;1
ducksandcats;wall-of-shields;1
duckduckfrog;smartduckduckcow;1
duckduckfrog;smartduckduckcow;1
abolfazl1386;smartduckduckcow;1
duckduckfrog;smartduckduckcow;1
smartduckduckcow;duckduckfrog;1
duckduckfrog;smartduckduckcow;1
duckduckfrog;smartduckduckcow;1
sunwatair57;smartduckduckcow;1
supermancito;christina-a-11;1
christina-a-11;supermancito;1
christina-a-11;theanal;1
christina-a-11;vedenichev__serega;1
mouhieddine;christina-a-11;1
christina-a-11;mouhieddine;1
mouhieddine;christina-a-11;1
christina-a-11;mouhieddine;1
joseph95;christina-a-11;1
elysiantri;christina-a-11;1
philosophorum;christina-a-11;1
christina-a-11;philosophorum;1
yeaheatdick;christina-a-11;1
christina-a-11;ammar_alomda;1
canibalchess;christina-a-11;1
christina-a-11;kolatt;1
radiz;christina-a-11;1
christina-a-11;valerioneto;1
valerioneto;christina-a-11;1
christina-a-11;tttony;1
christina-a-11;afrisham-iran;1
christina-a-11;receipt;1
christina-a-11;drinking_beer;1
christina-a-11;zakitrissi;1
e_t123;christina-a-11;1
christina-a-11;e_t123;1
cookieblake;vetteerrr;1
pgcpgc;cookieblake;1
resh77;cookieblake;1
cookieblake;memormz;1
b12denis;cookieblake;1
cookieblake;philcal;1
cookieblake;qq_kdp;1
stefanelu;cookieblake;1
cookieblake;dct94;1
lance5500;cookieblake;1
cookieblake;bozy;1
renzo2008;cookieblake;1
burkhab;cookieblake;1
adrianovidiu1980;cookieblake;1
gascarov;cookieblake;1
cookieblake;cesar251245;1
rosslund;cookieblake;1
cookieblake;foulage;1
mr_quantum;cookieblake;1
cookieblake;mr_quantum;1
abischabi;drunkpatzeruk;1
oldscout108;ningyuan;1
leeleeradio;mccheese;1
mccheese;robert_190;1
mccheese;maltegutsch;1
harrrr;mccheese;1
mccheese;orleibuiatti;1
tommmmmmmmmm;mccheese;1
alonxo;mccheese;1
beril2009;mccheese;1
bajablast;mccheese;1
timequake;mccheese;1
mccheese;reze;1
arthurmd;mccheese;1
mccheese;mustangsally;1
mccheese;hortense;1
mccheese;bratt;1
mccheese;jacknocler;1
mccheese;jubei;1
chondrolli;mccheese;1
j_karlo;mccheese;1
mccheese;perumanta;1
mccheese;maia0411;1
mauroduprat;mccheese;1
dlealgold;mccheese;1
kingtotos;mccheese;1
mccheese;homersimpson1;1
chess-brahs;ya_boy_agent;1
chess-brahs;adei;1
chess-brahs;lcf64;1
chess-brahs;hugomazochi;1
chess-brahs;responsible_peach;1
chess-brahs;berkaybahadr;1
chess-brahs;aks_oks;1
chess-brahs;adn_bravo88;1
chess-brahs;cdvh;1
turkchessboy123;chess-brahs;1
chess-brahs;arda2828;1
arda2828;chess-brahs;1
chess-brahs;arda2828;1
chess-brahs;corol;1
chess-brahs;msexeter;1
chess-brahs;niftyleopard;1
chess-brahs;factionmaster;1
bugzzila;chess-brahs;1
chess-brahs;bugzzila;1
chess-brahs;swordswiper;1
tomerari;chess-brahs;1
warera;dzhambul;1
chesspurity;warera;1
warera;hamed1234;1
whiteduke;warera;1
ahuang;egua1234567;1
endyron;ahuang;1
ahuang;hrynio92;1
ryan_duan_2;eucliides;1
vasyap;ryan_duan_2;1
dipking1;mario011;1
dipking1;lipecrp;1
aidenleahycrooks;dvip6;1
javierknees;aidenleahycrooks;1
aidenleahycrooks;ahmadirr;1
anzourbakez;aidenleahycrooks;1
obida2017;aidenleahycrooks;1
aidenleahycrooks;carloshrc;1
alex0404;aidenleahycrooks;1
aidenleahycrooks;costinhas;1
maxiargentino;aidenleahycrooks;1
aidenleahycrooks;nevrotic;1
rahgozar_eng;aidenleahycrooks;1
aidenleahycrooks;alfildetroya;1
alfdl;aidenleahycrooks;1
richard38;aidenleahycrooks;1
nssf24;aidenleahycrooks;1
maxwell_can;aidenleahycrooks;1
aidenleahycrooks;maxwell_can;1
aidenleahycrooks;raquiroz;1
mmarvin;aidenleahycrooks;1
deadintheend;aidenleahycrooks;1
aidenleahycrooks;myer;1
aidenleahycrooks;raavi;1
enjapuripraveen;aidenleahycrooks;1
aidenleahycrooks;mersoz;1
aidenleahycrooks;c4ue;1
brazil01;aidenleahycrooks;1
aidenleahycrooks;yokyramirez;1
unchosenones;aidenleahycrooks;1
justinothe0ne;aidenleahycrooks;1
aidenleahycrooks;luckyshine123;1
greminja;aidenleahycrooks;1
